report_number,date_of_event,event_type,manufacturer_name,facility_state,patient_outcomes,product_code,brand_name,hcpcs_code,hcpcs_desc,device_category,bridge_confidence,n_cms_hosp_in_state,n_cms_measures_in_state
9616091-2020-00019,,Injury,INVAMEX,,,IOR,TRSX5/WD66/ADULT/28/34P/U240/1255/U2222/BHDRM/9691B/GVT93HC/G1  9153649401,K0001,Standard wheelchair,manual_wheelchair,medium,0,0
2182207-2008-00774,,Injury,MEDTRONIC NEUROMODULATION,,,MHY,DEEP BRAIN STIMULATION LEAD,L8680,Implt neurostim elctr each,neurostim_electrode,medium,0,0
3012307300-2020-03476,,Malfunction,ST PAUL,,,FRN,CADD,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03476,,Malfunction,ST PAUL,,,FRN,CADD,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
2016493-2020-00564,,Malfunction,CAREFUSION,,,FRN,ALARIS®  PUMP MODULE,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2016493-2020-00564,,Malfunction,CAREFUSION,,,FRN,ALARIS®  PUMP MODULE,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
1314492-2020-01423,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM IQ INFUSION PUMP,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
3012307300-2020-03424,,Malfunction,"SMITHS MEDICAL ASD, INC.",,,FRN,MEDFUSION,C1751,"Cath, inf, per/cent/midline",central_venous_catheter,high,0,0
2649622-2020-08343,,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1785,"Pmkr, dual, rate-resp",pacemaker_dual_chamber,high,0,0
2649622-2020-08343,,Injury,MPRI,,,DTB,CAPSUREFIX NOVUS LEAD MRI SURESCAN,C1786,"Pmkr, single, rate-resp",pacemaker_single_chamber,high,0,0
1314492-2020-01395,,Malfunction,BAXTER HEALTHCARE CORPORATION,,,FRN,SPECTRUM INFUSION PUMP,C1753,"Cath, intravas ultrasound",ivus_catheter,medium,0,0
